Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,IsArrDelayed,IsDepDelayed
2008,1,25,5,2122,2000,2221,2105,WN,1935,N443WN,59,65,50,76,82,BUR,SJC,296,3,6,0,"",0,0,0,0,0,76,YES,YES
2008,1,25,5,757,755,904,905,WN,2886,N903WN,67,70,53,-1,2,BUR,SJC,296,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1213,1200,1326,1305,WN,3580,N700GS,73,65,58,21,13,BUR,SJC,296,4,11,0,"",0,5,0,8,0,8,YES,NO
2008,1,25,5,943,945,1053,1050,WN,3947,N904WN,70,65,49,3,-2,BUR,SJC,296,4,17,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1201,1200,1318,1315,WN,756,N482WN,77,75,59,3,1,BUR,SMF,358,6,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2055,2025,2209,2140,WN,1156,N218WN,74,75,57,29,30,BUR,SMF,358,6,11,0,"",0,29,0,0,0,0,YES,YES
2008,1,25,5,1809,1800,1923,1915,WN,1240,N743SW,74,75,57,8,9,BUR,SMF,358,7,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,706,705,816,825,WN,1356,N421LV,70,80,55,-9,1,BUR,SMF,358,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1610,1530,1729,1645,WN,1667,N258WN,79,75,64,44,40,BUR,SMF,358,5,10,0,"",0,0,0,4,0,40,YES,YES
2008,1,25,5,916,905,1028,1020,WN,2010,N281WN,72,75,57,8,11,BUR,SMF,358,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1930,1910,2057,2025,WN,2784,N309SW,87,75,58,32,20,BUR,SMF,358,7,22,0,"",0,0,0,12,0,20,YES,YES
2008,1,25,5,1051,1040,1203,1155,WN,2880,N201LV,72,75,56,8,11,BUR,SMF,358,3,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1731,1635,1850,1750,WN,3046,N729SW,79,75,63,60,56,BUR,SMF,358,6,10,0,"",0,6,0,4,0,50,YES,YES
2008,1,25,5,1350,1345,1501,1500,WN,3054,N201LV,71,75,56,1,5,BUR,SMF,358,4,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,819,815,926,930,WN,3427,N331SW,67,75,54,-4,4,BUR,SMF,358,5,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1424,1425,1653,1655,WN,2372,N292WN,269,270,255,-2,-1,BWI,ABQ,1670,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,918,915,1026,1025,WN,282,N765SW,68,70,54,1,3,BWI,ALB,288,4,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1911,1915,2013,2025,WN,815,N450WN,62,70,49,-12,-4,BWI,ALB,288,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1702,1655,1807,1805,WN,990,N328SW,65,70,52,2,7,BWI,ALB,288,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,630,635,745,745,WN,1483,N682SW,75,70,58,0,-5,BWI,ALB,288,7,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1119,1120,1226,1225,WN,1759,N436WN,67,65,55,1,-1,BWI,ALB,288,3,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1437,1440,1547,1550,WN,2291,N723SW,70,70,55,-3,-3,BWI,ALB,288,3,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2041,2045,2145,2150,WN,2787,N468WN,64,65,52,-5,-4,BWI,ALB,288,4,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1403,1400,1645,1650,WN,1663,N613SW,222,230,209,-5,3,BWI,AUS,1342,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,846,845,1121,1140,WN,2205,N438WN,215,235,200,-19,1,BWI,AUS,1342,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2007,2005,2109,2110,WN,462,N244WN,62,65,48,-1,2,BWI,BDL,283,5,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,737,740,845,845,WN,1157,N726SW,68,65,54,0,-3,BWI,BDL,283,4,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1305,1310,1414,1415,WN,1480,N276WN,69,65,50,-1,-5,BWI,BDL,283,4,15,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1452,1455,1550,1600,WN,1658,N228WN,58,65,47,-10,-3,BWI,BDL,283,3,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1837,1835,1940,1940,WN,2457,N905WN,63,65,46,0,2,BWI,BDL,283,4,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1740,1725,1844,1830,WN,2821,N646SW,64,65,48,14,15,BWI,BDL,283,3,13,0,"",0,NA,NA,NA,NA,NA,NO,YES
2008,1,25,5,2206,2135,2306,2240,WN,3050,N429WN,60,65,47,26,31,BWI,BDL,283,4,9,0,"",0,0,0,0,0,26,YES,YES
2008,1,25,5,855,900,1003,1005,WN,3846,N270WN,68,65,52,-2,-5,BWI,BDL,283,4,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1050,1050,1150,1155,WN,3932,N304SW,60,65,49,-5,0,BWI,BDL,283,4,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1823,1825,1922,1935,WN,3145,N704SW,119,130,104,-13,-2,BWI,BHM,682,4,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,810,815,911,930,WN,3249,N475WN,121,135,103,-19,-5,BWI,BHM,682,3,15,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1427,1430,1525,1540,WN,3655,N761RR,118,130,107,-15,-3,BWI,BHM,682,2,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1215,1205,1301,1300,WN,40,N685SW,106,115,93,1,10,BWI,BNA,588,5,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1945,1940,2036,2040,WN,1107,N419WN,111,120,96,-4,5,BWI,BNA,588,6,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,628,625,711,725,WN,1136,N773SA,103,120,90,-14,3,BWI,BNA,588,5,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,805,805,851,905,WN,1296,N468WN,106,120,92,-14,0,BWI,BNA,588,4,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,945,930,1032,1030,WN,1453,N206WN,107,120,93,2,15,BWI,BNA,588,6,8,0,"",0,NA,NA,NA,NA,NA,NO,YES
2008,1,25,5,1434,1430,1524,1530,WN,2210,N493WN,110,120,96,-6,4,BWI,BNA,588,5,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1722,1710,1818,1810,WN,2817,N236WN,116,120,98,8,12,BWI,BNA,588,5,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2129,2120,2236,2220,WN,3152,N612SW,127,120,105,16,9,BWI,BNA,588,7,15,0,"",0,0,0,7,0,9,YES,NO
2008,1,25,5,1742,1740,1850,1845,WN,15,N634SW,68,65,52,5,2,BWI,BUF,281,3,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2106,2100,2210,2205,WN,192,N304SW,64,65,49,5,6,BWI,BUF,281,7,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1431,1430,1537,1540,WN,1271,N614SW,66,70,50,-3,1,BWI,BUF,281,3,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1223,1225,1327,1330,WN,1618,N464WN,64,65,49,-3,-2,BWI,BUF,281,3,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,658,700,800,805,WN,1918,N274WN,62,65,51,-5,-2,BWI,BUF,281,2,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1930,1930,2040,2035,WN,2620,N283WN,70,65,51,5,0,BWI,BUF,281,3,16,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,937,940,1039,1045,WN,3838,N224WN,62,65,50,-6,-3,BWI,BUF,281,3,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1515,1515,1621,1630,WN,101,N779SW,66,75,54,-9,0,BWI,CLE,314,4,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1012,1015,1122,1130,WN,542,N744SW,70,75,56,-8,-3,BWI,CLE,314,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2031,2035,2142,2150,WN,735,N435WN,71,75,54,-8,-4,BWI,CLE,314,6,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,758,800,907,920,WN,3928,N779SW,69,80,54,-13,-2,BWI,CLE,314,6,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1303,1305,1417,1420,WN,627,N349SW,74,75,61,-3,-2,BWI,CMH,336,3,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,704,705,816,825,WN,1310,N754SW,72,80,57,-9,-1,BWI,CMH,336,3,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1551,1550,1700,1710,WN,1334,N231WN,69,80,58,-10,1,BWI,CMH,336,3,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1039,1045,1151,1200,WN,1940,N203WN,72,75,56,-9,-6,BWI,CMH,336,7,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2014,1945,2128,2105,WN,2797,N335SW,74,80,60,23,29,BWI,CMH,336,4,10,0,"",0,9,0,0,0,14,YES,YES
2008,1,25,5,814,815,1025,1025,WN,2815,N711HK,251,250,233,0,-1,BWI,DEN,1491,9,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1307,1305,1509,1515,WN,3517,N410WN,242,250,227,-6,2,BWI,DEN,1491,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1842,1845,2049,2055,WN,3685,N430WN,247,250,231,-6,-3,BWI,DEN,1491,6,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1626,1625,1808,1805,WN,801,N349SW,102,100,77,3,1,BWI,DTW,408,4,21,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2032,2035,2200,2205,WN,1322,N609SW,88,90,70,-5,-3,BWI,DTW,408,6,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1027,1020,1149,1150,WN,1424,N653SW,82,90,70,-1,7,BWI,DTW,408,4,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,828,830,959,1000,WN,2524,N649SW,91,90,72,-1,-2,BWI,DTW,408,6,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2027,2015,2245,2255,WN,888,N349SW,138,160,126,-10,12,BWI,FLL,925,4,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,634,635,853,915,WN,1571,N228WN,139,160,126,-22,-1,BWI,FLL,925,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1443,1440,1703,1720,WN,1770,N644SW,140,160,124,-17,3,BWI,FLL,925,3,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1008,1010,1237,1255,WN,2005,N274WN,149,165,122,-18,-2,BWI,FLL,925,18,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1758,1800,2013,2040,WN,2378,N723SW,135,160,126,-27,-2,BWI,FLL,925,3,6,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,656,655,917,935,WN,16,N784SW,201,220,190,-18,1,BWI,HOU,1246,5,6,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1214,1215,1433,1455,WN,995,N419WN,199,220,189,-22,-1,BWI,HOU,1246,2,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2014,2015,2243,2255,WN,1200,N487WN,209,220,194,-12,-1,BWI,HOU,1246,2,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1645,1645,1924,1930,WN,3399,N364SW,219,225,204,-6,0,BWI,HOU,1246,2,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,912,915,1047,1105,WN,1544,N457WN,95,110,82,-18,-3,BWI,IND,515,6,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1607,1610,1745,1800,WN,1625,N489WN,98,110,84,-15,-3,BWI,IND,515,7,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1346,1345,1533,1535,WN,1847,N358SW,107,110,88,-2,1,BWI,IND,515,8,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1532,1535,1630,1635,WN,183,N202WN,58,60,45,-5,-3,BWI,ISP,220,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1917,1850,2014,1950,WN,707,N718SW,57,60,45,24,27,BWI,ISP,220,4,8,0,"",0,24,0,0,0,0,YES,YES
2008,1,25,5,2125,2040,2221,2140,WN,1560,N905WN,56,60,42,41,45,BWI,ISP,220,4,10,0,"",0,41,0,0,0,0,YES,YES
2008,1,25,5,718,720,818,820,WN,2266,N354SW,60,60,47,-2,-2,BWI,ISP,220,3,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,913,915,1010,1015,WN,2275,N661SW,57,60,47,-5,-2,BWI,ISP,220,3,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1119,1115,1214,1210,WN,2382,N747SA,55,55,44,4,4,BWI,ISP,220,4,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1317,1300,1413,1400,WN,2904,N296WN,56,60,43,13,17,BWI,ISP,220,4,9,0,"",0,NA,NA,NA,NA,NA,NO,YES
2008,1,25,5,1705,1655,1843,1840,WN,2386,N343SW,158,165,146,3,10,BWI,JAN,888,4,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,917,920,1043,1105,WN,3407,N672SW,146,165,134,-22,-3,BWI,JAN,888,3,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1004,955,1152,1200,WN,34,N682SW,108,125,95,-8,9,BWI,JAX,663,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2010,2000,2201,2205,WN,1629,N286WN,111,125,97,-4,10,BWI,JAX,663,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,654,700,840,910,WN,2093,N460WN,106,130,92,-30,-6,BWI,JAX,663,4,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,654,655,921,930,WN,2528,N285WN,327,335,311,-9,-1,BWI,LAS,2106,5,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1021,955,1306,1225,WN,2872,N729SW,345,330,326,41,26,BWI,LAS,2106,8,11,0,"",0,26,0,15,0,0,YES,YES
2008,1,25,5,1928,1920,2202,2145,WN,2890,N272WN,334,325,321,17,8,BWI,LAS,2106,5,8,0,"",0,8,0,9,0,0,YES,NO
2008,1,25,5,1048,1045,1222,1225,WN,1676,N726SW,154,160,141,-3,3,BWI,LIT,912,5,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1938,1930,2128,2125,WN,1367,N470WN,170,175,151,3,8,BWI,MCI,967,6,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1304,1305,1507,1500,WN,1945,N631SW,183,175,166,7,-1,BWI,MCI,967,6,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,645,645,832,840,WN,2789,N760SW,167,175,151,-8,0,BWI,MCI,967,7,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,839,840,1051,1105,WN,358,N683SW,132,145,109,-14,-1,BWI,MCO,787,10,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2011,2015,2218,2235,WN,1137,N250WN,127,140,111,-17,-4,BWI,MCO,787,5,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1240,1240,1446,1505,WN,2003,N636WN,126,145,112,-19,0,BWI,MCO,787,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,605,605,811,825,WN,2527,N638SW,126,140,109,-14,0,BWI,MCO,787,8,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,746,750,958,1015,WN,2875,N383SW,132,145,115,-17,-4,BWI,MCO,787,6,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1723,1700,1943,1925,WN,3255,N222WN,140,145,109,18,23,BWI,MCO,787,5,26,0,"",0,18,0,0,0,0,YES,YES
2008,1,25,5,1012,1015,1216,1240,WN,3310,N379SW,124,145,111,-24,-3,BWI,MCO,787,4,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1847,1850,2050,2110,WN,3343,N551WN,123,140,109,-20,-3,BWI,MCO,787,4,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1442,1440,1646,1705,WN,3485,N273WN,124,145,110,-19,2,BWI,MCO,787,3,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,823,825,921,935,WN,1108,N400WN,118,130,99,-14,-2,BWI,MDW,611,8,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2132,2100,2227,2205,WN,1251,N673AA,115,125,103,22,32,BWI,MDW,611,5,7,0,"",0,17,0,0,0,5,YES,YES
2008,1,25,5,1718,1715,1823,1825,WN,1450,N751SW,125,130,111,-2,3,BWI,MDW,611,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,645,645,741,755,WN,1477,N429WN,116,130,98,-14,0,BWI,MDW,611,10,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2035,2025,2148,2135,WN,1503,N263WN,133,130,103,13,10,BWI,MDW,611,19,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1042,1040,1140,1145,WN,1833,N328SW,118,125,103,-5,2,BWI,MDW,611,7,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1433,1435,1536,1540,WN,1928,N265WN,123,125,102,-4,-2,BWI,MDW,611,6,15,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1319,1320,1414,1425,WN,3836,N433LV,115,125,98,-11,-1,BWI,MDW,611,6,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1505,1505,1616,1620,WN,213,N748SW,71,75,60,-4,0,BWI,MHT,377,3,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,936,940,1050,1055,WN,1184,N486WN,74,75,62,-5,-4,BWI,MHT,377,3,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2023,2025,2140,2140,WN,1194,N776WN,77,75,62,0,-2,BWI,MHT,377,5,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1131,1120,1249,1235,WN,1634,N675AA,78,75,62,14,11,BWI,MHT,377,3,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1321,1325,1436,1440,WN,2730,N236WN,75,75,61,-4,-4,BWI,MHT,377,3,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1908,1905,2019,2020,WN,3134,N669SW,71,75,58,-1,3,BWI,MHT,377,3,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,617,620,730,735,WN,3223,N379SW,73,75,60,-5,-3,BWI,MHT,377,5,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,826,830,941,945,WN,3311,N200WN,75,75,61,-4,-4,BWI,MHT,377,3,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1700,1625,1814,1745,WN,3326,N676SW,74,80,59,29,35,BWI,MHT,377,5,10,0,"",0,12,0,0,0,17,YES,YES
2008,1,25,5,1831,1805,1943,1920,WN,3679,N616SW,72,75,60,23,26,BWI,MHT,377,2,10,0,"",0,4,0,0,0,19,YES,YES
2008,1,25,5,2128,2120,2237,2235,WN,3936,N766SW,69,75,59,2,8,BWI,MHT,377,4,6,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,852,850,1038,1045,WN,1376,N361SW,166,175,154,-7,2,BWI,MSY,998,3,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1724,1700,1950,1930,WN,271,N383SW,206,210,194,20,24,BWI,OKC,1180,3,9,0,"",0,1,0,0,0,19,YES,YES
2008,1,25,5,1137,1140,1218,1230,WN,46,N386SW,41,50,29,-12,-3,BWI,ORF,159,3,9,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1734,1730,1819,1820,WN,1542,N416WN,45,50,29,-1,4,BWI,ORF,159,3,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2131,2105,2215,2155,WN,1555,N264LV,44,50,31,20,26,BWI,ORF,159,4,9,0,"",0,20,0,0,0,0,YES,YES
2008,1,25,5,807,810,851,900,WN,3138,N364SW,44,50,31,-9,-3,BWI,ORF,159,3,10,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1517,1505,1606,1555,WN,3490,N675AA,49,50,38,11,12,BWI,ORF,159,3,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,2140,2000,2349,2230,WN,634,N407WN,129,150,115,79,100,BWI,PBI,883,4,10,0,"",0,2,0,0,0,77,YES,YES
2008,1,25,5,1740,1735,1954,2010,WN,1139,N614SW,134,155,116,-16,5,BWI,PBI,883,5,13,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1219,1220,1431,1455,WN,2362,N661SW,132,155,117,-24,-1,BWI,PBI,883,4,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,710,715,923,950,WN,3658,N363SW,133,155,118,-27,-5,BWI,PBI,883,4,11,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1240,1240,1601,1555,WN,369,N765SW,321,315,307,6,0,BWI,PHX,1999,7,7,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,838,840,1200,1155,WN,1288,N221WN,322,315,303,5,-2,BWI,PHX,1999,7,12,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1506,1505,1826,1820,WN,1466,N710SW,320,315,306,6,1,BWI,PHX,1999,6,8,0,"",0,NA,NA,NA,NA,NA,NO,NO
2008,1,25,5,1946,1825,2300,2145,WN,1832,N228WN,314,320,295,75,81,BWI,PHX,1999,8,11,0,"",0,0,0,0,0,75,YES,YES
