IATA_CODE,CITY,STATE,COUNTRY
MAF,Midland,TX,USA
MBS,Saginaw,MI,USA
MCI,Kansas City,MO,USA
MCO,Orlando,FL,USA
MDT,Harrisburg,PA,USA
MDW,Chicago,IL,USA
MEI,Meridian,MS,USA
MEM,Memphis,TN,USA
MFE,McAllen,TX,USA
MFR,Medford,OR,USA
MGM,Montgomery,AL,USA
MHK,Manhattan,KS,USA
MHT,Manchester,NH,USA
MIA,Miami,FL,USA
MKE,Milwaukee,WI,USA
MKG,Muskegon,MI,USA
MLB,Melbourne,FL,USA
MLI,Moline,IL,USA
MLU,Monroe,LA,USA
MMH,Mammoth Lakes,CA,USA
MOB,Mobile,AL,USA
MOT,Minot,ND,USA
MQT,Marquette,MI,USA
MRY,Monterey,CA,USA
MSN,Madison,WI,USA
MSO,Missoula,MT,USA
MSP,Minneapolis,MN,USA
MSY,New Orleans,LA,USA
MTJ,Montrose,CO,USA
MVY,Marthas Vineyard,MA,USA
MYR,Myrtle Beach,SC,USA
OAJ,Jacksonville,NC,USA
OAK,Oakland,CA,USA
OGG,Kahului,HI,USA
OKC,Oklahoma City,OK,USA
OMA,Omaha,NE,USA
OME,Nome,AK,USA
ONT,Ontario,CA,USA
ORD,Chicago,IL,USA
ORF,Norfolk,VA,USA
ORH,Worcester,MA,USA
OTH,North Bend,OR,USA
OTZ,Kotzebue,AK,USA
PAH,Paducah,KY,USA
PBG,Plattsburgh,NY,USA
PBI,West Palm Beach,FL,USA
PDX,Portland,OR,USA
PHF,Newport News,VA,USA
PHL,Philadelphia,PA,USA
PHX,Phoenix,AZ,USA
PIA,Peoria,IL,USA
PIB,Hattiesburg-Laurel,MS,USA
PIH,Pocatello,ID,USA
PIT,Pittsburgh,PA,USA
PLN,Pellston,MI,USA
PNS,Pensacola,FL,USA
PPG,Pago Pago,AS,USA
PSC,Pasco,WA,USA
PSE,Ponce,PR,USA
PSG,Petersburg,AK,USA
PSP,Palm Springs,CA,USA
PUB,Pueblo,CO,USA
PVD,Providence,RI,USA
PWM,Portland,ME,USA
RAP,Rapid City,SD,USA
RDD,Redding,CA,USA
RDM,Redmond,OR,USA
RDU,Raleigh,NC,USA
RHI,Rhinelander,WI,USA
RIC,Richmond,VA,USA
RKS,Rock Springs,WY,USA
RNO,Reno,NV,USA
ROA,Roanoke,VA,USA
ROC,Rochester,NY,USA
ROW,Roswell,NM,USA
RST,Rochester,MN,USA
RSW,Ft. Myers,FL,USA
SAF,Santa Fe,NM,USA
SAN,San Diego,CA,USA
SAT,San Antonio,TX,USA
SAV,Savannah,GA,USA
SBA,Santa Barbara,CA,USA
SBN,South Bend,IN,USA
SBP,San Luis Obispo,CA,USA
SCC,Deadhorse,AK,USA
SCE,State College,PA,USA
SDF,Louisville,KY,USA
SEA,Seattle,WA,USA
SFO,San Francisco,CA,USA
SGF,Springfield,MO,USA
SGU,St George,UT,USA
SHV,Shreveport,LA,USA
SIT,Sitka,AK,USA
SJC,San Jose,CA,USA
SJT,San Angelo,TX,USA
SJU,San Juan,PR,USA
SLC,Salt Lake City,UT,USA
SMF,Sacramento,CA,USA
SMX,Santa Maria,CA,USA
SNA,Santa Ana,CA,USA
SPI,Springfield,IL,USA
SPS,Wichita Falls,TX,USA
SRQ,Sarasota,FL,USA
STC,St Cloud,MN,USA
STL,St Louis,MO,USA
STT,Charlotte Amalie,VI,USA
STX,Christiansted,VI,USA
SUN,Hailey,ID,USA
SUX,Sioux City,IA,USA
SWF,Newburgh,NY,USA
SYR,Syracuse,NY,USA
TLH,Tallahassee,FL,USA
TOL,Toledo,OH,USA
TPA,Tampa,FL,USA
TRI,Bristol,TN,USA
TTN,Trenton,NJ,USA
TUL,Tulsa,OK,USA
TUS,Tucson,AZ,USA
TVC,Traverse City,MI,USA
TWF,Twin Falls,ID,USA
TXK,Texarkana,AR,USA
TYR,Tyler,TX,USA
TYS,Knoxville,TN,USA
UST,St. Augustine,FL,USA
VEL,Vernal,UT,USA
VLD,Valdosta,GA,USA
VPS,Valparaiso,FL,USA
WRG,Wrangell,AK,USA
WYS,West Yellowstone,MT,USA
XNA,Fayetteville/Springdale/Rogers,AR,USA
YAK,Yakutat,AK,USA
YUM,Yuma,AZ,USA
